ServiceNo,StopSequence,BusStopCode,Description,MRTBusStop,MRTLine,average_passenger_volume,Latitude,Longitude,outcome
10,1,75009,Tampines Int,1,"['Downtown Line', 'East-West Line']",2562660.6666666665,1.35407552367477,103.94339098473914,keep
10,2,76059,Opp Our Tampines Hub,0,,154513.33333333334,1.35296163572491,103.94165154852796,keep
10,3,76069,Blk 147,0,,149446.0,1.34875342114003,103.94208629087404,keep
10,4,96289,Changi General Hosp,0,,142896.33333333334,1.34005496226354,103.94838106593956,keep
10,5,96109,Opp Blk 3012,0,,50273.333333333336,1.33737118239889,103.95067333143491,keep
10,6,85079,Flextronic,0,,21813.0,1.33394889968504,103.9501523198666,keep
10,7,85089,Aft Sungei Bedok,0,,10178.0,1.33338002405472,103.94880327361744,keep
10,8,85069,Bedok Mkt Pl,0,,51754.0,1.3318,103.94738,keep
10,9,85059,Bef Jln Chempaka Kuning,0,,7140.0,1.32950222197902,103.94906611097686,keep
10,10,85049,Opp Man Fatt Lam Tp,0,,26306.666666666668,1.32671998700111,103.95124872703616,keep
10,11,85039,Opp Excelsior Gdns,0,,9062.666666666666,1.32442497435966,103.9529859426158,keep
10,12,85029,Aft Bedok Meth Ch,0,,10078.333333333334,1.32261805599904,103.95429972202514,keep
10,13,85019,Eastwood Ctr,0,,30236.0,1.321288333018,103.95534472201146,keep
10,14,94079,Bedok Camp 2,0,,6169.333333333333,1.319557,103.955325,keep
10,15,94069,Opp Kew Green Condo,0,,10088.333333333334,1.31809668590525,103.95085659912792,keep
10,16,94059,Temasek Sec Sch,0,,44685.0,1.31707137658578,103.9479809249404,keep
10,17,94049,Aft Bedok Sth Ave 3,0,,11090.333333333334,1.31616443335073,103.94482108127718,keep
10,18,94089,Calvary Ably Of God Ch,0,,10138.333333333334,1.31536333302999,103.94294138900048,keep
10,19,94039,Opp The Summit,0,,50303.0,1.31485363967239,103.94066333773824,keep
10,20,94029,Aft Sennet Rd,0,,15346.666666666666,1.31453305602342,103.93750499997168,keep
10,21,94019,Opp Evergreen Ave,0,,17361.333333333332,1.3142851610342,103.93574953076752,keep
10,22,93099,Siglap Sth CC,0,,21287.666666666668,1.31390444400831,103.93171138898548,keep
10,23,93089,Opp Goodwill Ct,0,,29059.0,1.31295810131062,103.92790605020116,keep
10,24,93079,Opp Springvale,0,,37919.666666666664,1.31250502315071,103.9250247698478,keep
10,25,93069,Aft Siglap Rd,0,,36849.0,1.31168943552207,103.92240015622043,keep
10,26,93059,Aft Jln Buloh Perindu,0,,15888.333333333334,1.31076138897412,103.91930777802244,keep
10,27,92159,ST. PATRICK'S SCH,0,,33486.333333333336,1.309748,103.9166295,keep
10,28,92149,St. Patrick's Green,0,,22860.666666666668,1.30928064742874,103.91434517290192,keep
10,29,92139,Opp Caltex Stn,0,,23115.0,1.30853972762017,103.91062932209373,keep
10,30,92129,The Holy Family Ch,0,,64808.666666666664,1.30686400495083,103.90646134135643,keep
10,31,92119,Roxy Sq,0,,96471.0,1.30444500073,103.90277451423108,keep
10,32,92109,Opp Katong Shop Ctr,0,,19589.333333333332,1.30356602776936,103.9014561477864,keep
10,33,92099,One Amber,0,,38093.333333333336,1.3023783312326,103.89900426571224,keep
10,34,92161,Aft Katong PO,0,,40196.333333333336,1.30380001918907,103.89656923070308,keep
10,35,82071,Opp Tg Katong Girls' Sch,0,,65308.333333333336,1.30725334418948,103.89541128171984,keep
10,36,81199,BEF OLD AIRPORT RD,0,,11156.0,1.30862937328019,103.8906311270188,keep
10,37,81189,Dakota Stn Exit B/Blk 60,1,['Circle Line'],132059.33333333334,1.30821308595952,103.88850877408412,keep
10,38,81179,Blk 22,0,,36654.0,1.30726086825664,103.88490711001796,keep
10,39,80141,Opp S.A. Deaf,0,,37810.666666666664,1.30711835522323,103.87989373246153,keep
10,40,80219,Natl Stadium,0,,7466.666666666667,1.30674381370885,103.875264139574,keep
10,41,80169,Nicoll Highway Stn,1,['Circle Line'],27688.0,1.30070547633658,103.86336013257063,keep
10,42,80159,Suntec City,0,,50022.333333333336,1.295962316986,103.8579517489622,keep
10,43,2119,Opp War Memorial Pk,0,,18940.666666666668,1.29184407356581,103.85534334305083,keep
10,44,3019,OUE Bayfront,0,,75210.0,1.284245000013,103.853108055996,keep
10,45,3059,One Raffles Quay,0,,96427.0,1.281111,103.851461,keep
10,46,3129,UIC Bldg,0,,138727.0,1.27807003532092,103.84956718123824,keep
10,47,3217,Opp AXA Twr,0,,26354.0,1.27552218897645,103.8479443674916,keep
10,48,5649,Opp Customs Port Br HQ,0,,37014.666666666664,1.2723842122117,103.84093912218094,keep
10,49,14061,Opp Former Railway Stn,0,,15031.333333333334,1.27231269789239,103.83862035734884,keep
10,50,14071,Keppel Workshop,0,,4356.666666666667,1.27220342411953,103.8339025862589,keep
10,51,14081,Tg Pagar DP Blk F5,0,,1064.0,1.270896111,103.8308919,keep
10,52,14101,Opp Keppel DP Blk 517,0,,4889.333333333333,1.26837500002503,103.82825805600972,keep
10,53,14141,HarbourFront Stn/Vivocity,1,['North-East Line'],459040.6666666667,1.26552421466644,103.82211326846236,keep
10,54,14121,Opp HarbourFront Int,1,['North-East Line'],98130.0,1.26591350024271,103.8192566062178,keep
10,55,14131,Caribbean at Keppel Bay,0,,62595.0,1.26740130257465,103.81675441150335,keep
10,56,14151,Opp Chr Community Chapel,0,,34366.666666666664,1.26964765905364,103.8129359412343,keep
10,57,14161,Telok Blangah Stn,1,['Circle Line'],122142.33333333333,1.27075866533548,103.81009913005327,keep
10,58,14171,Opp Yeo's Bldg,0,,9063.0,1.27145959833005,103.80654857059398,keep
10,59,15141,Labrador Pk Stn,1,['Circle Line '],17660.333333333332,1.27275860463579,103.80095947823813,keep
10,60,15151,Opp Mapletree Biz City,0,,40116.666666666664,1.27389192906939,103.7982220898242,keep
10,61,15161,Opp HarbourSide Bldg 2,0,,37989.666666666664,1.27443806198132,103.79666055940478,keep
10,62,15191,Pasir Panjang Stn/Fc,1,['Circle Line'],65209.0,1.27581227029734,103.7926357125798,keep
10,63,15201,Aft Pasir Panjang Stn,1,['Circle Line'],6265.333333333333,1.27680819120105,103.78970861437152,keep
10,64,15221,Aft Sth Buona Vista Rd,0,,44791.0,1.27949923466491,103.78548955401584,keep
10,65,16201,Barossa Gdns,0,,8620.666666666666,1.28130063164133,103.78410758834184,keep
