ServiceNo,Step 2 Parallelism Score,Rank
966,1.6214226833282173,1
63,1.3497933371956214,2
858,1.3468676432476336,3
48,1.3059905658460953,4
31,1.2697386267859558,5
970,1.2641774256123028,6
158,1.226469521163591,7
170,1.211334973152827,8
196,1.1972223634120902,9
27,1.161052823640268,10
36,1.155130480428499,11
16,1.1522093354984497,12
200,1.1452143688179368,13
168,1.1429451113052755,14
16M,1.1394992279452565,15
161,1.1281882973350714,16
36B,1.1264762134871256,17
24,1.1239422953034892,18
63A,1.1236744348588426,19
67,1.092261610707567,20
961M,1.0912280509896697,21
56,1.087433121322532,22
8,1.086046203772472,23
59,1.0850912943977085,24
107M,1.082608493760748,25
32,1.0802926414758223,26
111,1.077805002817502,27
965T,1.0727726930707189,28
858B,1.0493244087191085,29
168A,1.04590689917088,30
187,1.0367500479656233,31
400,1.0331384353149433,32
91,1.0252378605076375,33
145,1.0248415395463215,34
185,1.015606488459398,35
110,1.0153749327555135,36
985,1.0149928690482988,37
960,0.9892958522532662,38
961,0.9746555436191996,39
61,0.9687787770379458,40
77,0.9649318653858256,41
175,0.9547661930331851,42
14,0.953051730600214,43
7A,0.9513849608978467,44
132,0.9499811771908905,45
93,0.9460870530818865,46
106,0.9443348301195122,47
75,0.9418420201069774,48
80,0.9337281095848534,49
43,0.9319364277537258,50
131A,0.9278405383190628,51
200A,0.9255556834232328,52
54,0.9234979490833102,53
972M,0.9207889474129743,54
965A,0.9099533325289318,55
147,0.9094137860007552,56
95,0.9080014212748261,57
105,0.9070972514387948,58
965,0.906882858336654,59
133,0.905678203298943,60
859,0.9032356588676118,61
851,0.8979405901567212,62
55,0.8962151962389437,63
11,0.8937274132637637,64
146,0.893201504710473,65
969,0.8927366387139738,66
154,0.8909059592446571,67
7,0.8864675784438141,68
23,0.8836538448392599,69
166,0.883204810618957,70
118,0.882274413148204,71
38,0.8769313000429281,72
158A,0.8730712104724948,73
34B,0.8684260290547718,74
5,0.8680272589067318,75
57,0.8565549504498795,76
63M,0.854961547922721,77
107,0.8500509357077305,78
33,0.8468428535567826,79
92A,0.8465287289894776,80
857,0.8308272203520336,81
963,0.8249211563171498,82
184,0.818802679565623,83
64,0.8165300085110307,84
20,0.8162844706882274,85
178,0.8161226140115391,86
966A,0.8125605556935238,87
197,0.8048154220309016,88
10,0.8011143727963321,89
151,0.7996116891202776,90
980,0.7993701436233543,91
28,0.7976545054466869,92
65,0.7944807324825608,93
82,0.7879249660142875,94
52,0.7851248966750013,95
30,0.7737077787274849,96
165,0.765673890221624,97
191,0.7598234407435388,98
47,0.756659304752572,99
76,0.7532625086143865,100
153,0.7428956352853642,101
15,0.7403397988602141,102
