ServiceNo,ParallelismScore,Rank
966,1.7835649516610392,1
63,1.754731338354308,2
31,1.6506602148217426,3
858,1.6162411718971603,4
170,1.5747354650986751,5
48,1.5671886790153142,6
27,1.5093686707323484,7
36,1.5016696245570487,8
16,1.4978721361479843,9
200,1.488778679463318,10
16M,1.4813489963288335,11
158,1.4717634253963092,12
161,1.466644786535593,13
36B,1.4644190775332633,14
24,1.461124983894536,15
63A,1.4607767653164954,16
67,1.4199400939198372,17
961M,1.4185964662865707,18
56,1.4136630577192915,19
107M,1.4073910418889726,20
111,1.4011465036627526,21
965T,1.3946045009919346,22
858B,1.364121731334841,23
168A,1.359678968922144,24
91,1.332809218659929,25
110,1.3199874125821676,26
196,1.3169445997532994,27
59,1.3021095532772502,28
960,1.286084607929246,29
961,1.2670522067049594,30
970,1.2641774256123028,31
168,1.2572396224358031,32
77,1.2544114250015734,33
14,1.2389672497802782,34
7A,1.2368004491672009,35
93,1.2299131690064524,36
106,1.227635279155366,37
185,1.2187277861512775,38
43,1.2115173560798436,39
131A,1.2061926998147816,40
200A,1.2032223884502027,41
54,1.2005473338083033,42
972M,1.1970256316368666,43
8,1.1946508241497193,44
32,1.188321905623405,45
965A,1.1829393322876114,46
965,1.1789477158376502,47
133,1.177381664288626,48
859,1.1742063565278953,49
55,1.165079755110627,50
146,1.1611619561236148,51
969,1.160557630328166,52
7,1.1524078519769583,53
23,1.1487499982910379,54
118,1.1469567370926652,55
38,1.1400106900558065,56
132,1.1399774126290685,57
34B,1.1289538377712034,58
145,1.1273256935009537,59
57,1.1135214355848433,60
63M,1.1114500122995374,61
107,1.1050662164200498,62
92A,1.1004873476863208,63
95,1.089601705529791,64
857,1.0800753864576438,65
851,1.0775287081880653,66
11,1.0724728959165164,67
963,1.0723975032122948,68
184,1.06444348343531,69
178,1.0609593982150007,70
166,1.0598457727427484,71
158A,1.0476854525669936,72
10,1.0414486846352318,73
187,1.036750047965623,74
75,1.0360262221176753,75
400,1.033138435314943,76
82,1.0243024558185738,77
33,1.016211424268139,78
985,1.0149928690482988,79
30,1.0058201123457304,80
147,1.0003551646008308,81
105,0.9978069765826744,82
165,0.9953760572881113,83
191,0.9877704729666005,84
47,0.9836570961783437,85
154,0.9799965551691229,86
20,0.9795413648258728,87
76,0.9792412611987025,88
61,0.9687787770379458,89
153,0.9657643258709735,90
151,0.9595340269443331,91
980,0.9592441723480252,92
28,0.9571854065360242,93
175,0.9547661930331852,94
34,0.9514297146099965,95
22,0.950234098514256,96
857B,0.9480369571031506,97
186,0.9462228672434426,98
80,0.9337281095848534,99
972,0.9310931262285825,100
131,0.9307855316341173,101
964,0.9101395971109024,102
53A,0.9076965800236436,103
174,0.9057200142155423,104
190,0.9034685568842263,105
70M,0.9026680112799714,106
859T,0.9017120177882195,107
39,0.8987195538665439,108
188,0.8982685505861914,109
64,0.8981830093621339,110
966A,0.8938166112628763,111
197,0.8852969642339918,112
51,0.8826000416926396,113
143,0.8791878329256678,114
100,0.8748340897192816,115
65,0.873928805730817,116
123M,0.8721435444134515,117
5,0.8680272589067318,118
129A,0.8647377610687892,119
52,0.8636373863425015,120
140,0.8624799133081729,121
180,0.853956314407621,122
53,0.8467640955010017,123
49,0.8346661006371032,124
979,0.834075146707337,125
855,0.8251602866074268,126
853M,0.8226843423714286,127
142,0.8159455650844547,128
15,0.8143737787462355,129
854,0.8088470628489515,130
120,0.8085276338896932,131
17,0.8081942991991904,132
70,0.800687631807743,133
134,0.7991036252231938,134
141,0.7985266735201997,135
60,0.7945949094065944,136
167,0.7924310861919186,137
13,0.7896938522606906,138
157,0.7870061733791728,139
121,0.7718342345549213,140
142A,0.765218253746392,141
124,0.7624762827900379,142
50,0.7616341995117412,143
101,0.7612925476253827,144
195,0.7583850831367346,145
125,0.7565166359038519,146
130,0.7553663362035895,147
85,0.7551908649815223,148
81,0.7523923219243895,149
9,0.7491107257877898,150
122,0.7429138181248969,151
196A,0.7350344660431714,152
55B,0.7302800361193476,153
25,0.7288843940682364,154
190A,0.7270195053725271,155
974A,0.7203757527697994,156
85A,0.7172072139159068,157
2,0.7061032806791954,158
58,0.7048014056416605,159
972A,0.7046081479230389,160
135,0.7013906160805053,161
138,0.6952140358457677,162
974,0.6942986429398215,163
12,0.6926437175025942,164
983,0.6908405658655444,165
90,0.6803782388710841,166
26,0.6713831569507926,167
129,0.6677469061985055,168
118A,0.661367487815636,169
71,0.6594121216069615,170
195A,0.6538345788849342,171
991,0.6494924730185275,172
159,0.6484326343680298,173
852,0.6341293210984854,174
21,0.6334241701753196,175
401,0.627856401534019,176
962,0.6271106559141566,177
853,0.6156120528236733,178
192,0.6132549157340419,179
162,0.6117885657039551,180
86,0.6112036201915542,181
92,0.6092814803744602,182
240M,0.6045046593382353,183
163,0.5963423056695704,184
950,0.594044138940089,185
123,0.5867438224996762,186
94,0.586116009765298,187
883M,0.5855882899433267,188
859B,0.5851107206414924,189
36A,0.581301761631133,190
73,0.5798865073230177,191
74,0.5728794780416786,192
156,0.5707856409728259,193
990,0.5704396596535057,194
194,0.5693869666466805,195
40,0.5607047883696106,196
860,0.5521345491027959,197
856,0.5507365198451102,198
87,0.5496120424892884,199
97,0.5431341432903628,200
117,0.5423284063866485,201
18,0.5414814830488952,202
98A,0.5397753817291485,203
117M,0.5348401787191788,204
176,0.5335201918684378,205
189,0.532193632587422,206
155,0.5301888895449232,207
858A,0.5296900347914574,208
859A,0.5254615463181062,209
113,0.5180685784305172,210
20A,0.5178389140677294,211
60T,0.5168839052796198,212
73T,0.5160864091473653,213
137,0.5157010072253383,214
180A,0.5134652636727787,215
139,0.5112056247664002,216
88,0.5051875702649062,217
7B,0.5034832293868333,218
2B,0.501590559626483,219
198,0.4959333452357083,220
3A,0.491531863492683,221
173,0.4911704165084829,222
62,0.48748342057322613,223
172,0.4869099097013149,224
925,0.4858668989965929,225
90A,0.4849871780692147,226
252,0.4823983517495957,227
43M,0.4756630971054429,228
109,0.47335526281893836,229
31A,0.4698555143086339,230
201,0.46952807070750674,231
179,0.46943771118864597,232
183,0.46113528724308683,233
925M,0.46102462943784,234
976,0.46054164515176077,235
98M,0.46035421755675393,236
45,0.4574373091967017,237
83,0.4563669760865272,238
21A,0.45551287935986,239
33B,0.4540919137895984,240
70A,0.4532331818544764,241
857A,0.44786390260416936,242
882A,0.44643381904541163,243
99,0.4408707564770107,244
193,0.4385769960011155,245
14A,0.43451388910688965,246
3,0.43035075398502104,247
119,0.4300023714432707,248
41,0.4293889325660411,249
258,0.4279082769750716,250
5A,0.419569696460681,251
66,0.4185268486964735,252
169,0.4180651363259871,253
116,0.41767354021163355,254
147A,0.41412131527568136,255
95B,0.4058654206889753,256
991B,0.4054845415314912,257
136,0.3990910997373634,258
9A,0.396396801067124,259
991A,0.3943582744314511,260
183B,0.38561756765915395,261
98,0.38392612207411764,262
160,0.3831093928039802,263
89,0.381343670903013,264
33A,0.3809630246857972,265
15A,0.38073603484799595,266
159A,0.3788573162219281,267
173A,0.3704012724252369,268
102,0.3681576521425719,269
50A,0.3667370745541282,270
109A,0.36666876833936873,271
969A,0.36481315087719063,272
860T,0.35986827293841606,273
983A,0.35506343471378377,274
103,0.3547517336381905,275
861,0.35234374727442985,276
962B,0.3413428274020924,277
98B,0.33967752339418134,278
