ServiceNo,Score,Rank
63,1.0,1
961M,0.97,2
48,0.97,2
970,0.94,3
145,0.91,4
961,0.87,5
36,0.86,6
36B,0.83,7
63A,0.83,7
80,0.83,7
54,0.82,8
67,0.81,9
147,0.81,9
133,0.8,10
32,0.8,10
111,0.8,10
851,0.8,10
166,0.78,11
158,0.78,11
196,0.76,12
107,0.76,12
33,0.75,13
960,0.73,14
16,0.73,14
16M,0.72,15
966,0.72,15
61,0.72,15
197,0.72,15
175,0.71,16
65,0.71,16
31,0.71,16
106,0.7,17
56,0.69,18
107M,0.69,18
7,0.66,19
51,0.65,20
186,0.65,20
167,0.64,21
13,0.64,21
57,0.63,22
174,0.62,23
190,0.62,23
857,0.62,23
77,0.61,24
130,0.61,24
14,0.6,25
64,0.6,25
7A,0.6,25
8,0.6,25
858,0.6,25
170,0.6,25
10,0.59,26
980,0.59,26
131A,0.59,26
105,0.58,27
400,0.57,28
985,0.56,29
853M,0.56,29
24,0.55,30
5,0.55,30
70,0.55,30
143,0.54,31
100,0.54,31
59,0.54,31
131,0.53,32
132,0.53,32
93,0.53,32
75,0.52,33
2,0.52,33
43,0.52,33
27,0.52,33
70M,0.51,34
124,0.51,34
12,0.51,34
187,0.51,34
195,0.51,34
200,0.51,34
168,0.51,34
28,0.51,34
185,0.5,35
161,0.5,35
154,0.49,36
23,0.49,36
965T,0.48,37
153,0.47,38
21,0.47,38
858B,0.47,38
168A,0.46,39
22,0.46,39
963,0.46,39
91,0.46,39
141,0.45,40
972M,0.45,40
178,0.45,40
110,0.45,40
95,0.45,40
965,0.45,40
55,0.44,41
11,0.44,41
969,0.44,41
195A,0.44,41
52,0.44,41
38,0.43,42
135,0.43,42
158A,0.43,42
30,0.43,42
34B,0.43,42
165,0.42,43
129,0.42,43
156,0.42,43
63M,0.42,43
853,0.42,43
76,0.42,43
200A,0.41,44
15,0.41,44
857B,0.4,45
965A,0.4,45
20,0.4,45
855,0.4,45
859,0.4,45
972,0.4,45
146,0.4,45
151,0.39,46
118,0.39,46
74,0.39,46
58,0.39,46
39,0.38,47
188,0.38,47
139,0.38,47
92A,0.38,47
191,0.37,48
47,0.37,48
97,0.37,48
71,0.37,48
157,0.36,49
184,0.36,49
120,0.36,49
34,0.36,49
966A,0.36,49
82,0.35,50
121,0.35,50
163,0.34,51
134,0.34,51
45,0.34,51
176,0.34,51
123,0.34,51
122,0.33,52
123M,0.33,52
36A,0.33,52
26,0.33,52
140,0.33,52
137,0.33,52
155,0.33,52
125,0.32,53
53,0.32,53
196A,0.31,54
974,0.31,54
964,0.31,54
53A,0.31,54
852,0.31,54
162,0.31,54
859T,0.31,54
50,0.31,54
92,0.3,55
854,0.3,55
129A,0.29,56
180,0.29,56
991,0.29,56
138,0.29,56
49,0.28,57
979,0.28,57
9,0.28,57
62,0.28,57
85,0.28,57
401,0.28,57
142,0.28,57
962,0.28,57
17,0.28,57
40,0.27,58
974A,0.27,58
173,0.27,58
60,0.27,58
159,0.27,58
142A,0.26,59
101,0.26,59
81,0.26,59
990,0.26,59
983,0.26,59
194,0.25,60
55B,0.25,60
88,0.25,60
25,0.25,60
190A,0.25,60
192,0.25,60
85A,0.24,61
972A,0.24,61
147A,0.24,61
189,0.24,61
90,0.23,62
86,0.23,62
118A,0.23,62
18,0.22,63
856,0.22,63
252,0.21,64
14A,0.21,64
860,0.21,64
87,0.21,64
240M,0.21,64
169,0.21,64
198,0.2,65
950,0.2,65
117,0.2,65
