ServiceName,BusStopCode,Stop Sequence,Latitude,Longitude
Proposed BTO Route,90061,1,1.2981225,103.8824094
Proposed BTO Route,90051,2,1.297659444,103.8791731
Proposed BTO Route,1039,3,1.29820784139683,103.85549139837408
Proposed BTO Route,7518,4,1.30095828368506,103.85211175034802
Proposed BTO Route,7419,5,1.30653024120879,103.8561630249311
Proposed BTO Route,7319,6,1.31038833299803,103.85870666696984
Proposed BTO Route,7111,7,1.30879366465919,103.8531751994068
Proposed BTO Route,7031,8,1.30572083298412,103.85120583303193
Proposed BTO Route,40011,9,1.30606411522588,103.84908751469008
Proposed BTO Route,9037,10,1.3023400420296,103.83701253388185
Proposed BTO Route,9219,11,1.30731999685228,103.833160882917
Proposed BTO Route,9179,12,1.30587966240898,103.83049004618626
Proposed BTO Route,9022,13,1.30252834773643,103.83239784275958
Proposed BTO Route,9037,14,1.3023400420296,103.83701253388185
Proposed BTO Route,5039,15,1.28293819129834,103.84254276754574
Proposed BTO Route,3031,16,1.28207492207952,103.85086074925066
West Rush Hour Express,17171,1,1.31497399268611,103.76502698264449
West Rush Hour Express,17041,2,1.3042101570614,103.76455953939508
West Rush Hour Express,17159,3,1.311975556,103.7698144
West Rush Hour Express,12091,4,1.32918315486756,103.7771471166854
West Rush Hour Express,43181,5,1.34648944401178,103.75681722199708
West Rush Hour Express,43419,6,1.35155523613685,103.74998784769572
West Rush Hour Express,28461,7,1.345332402809,103.73205383657178
West Rush Hour Express,28491,8,1.34905596073619,103.7307863306416
West Rush Hour Express,28511,9,1.35063596491215,103.7237236090261
West Rush Hour Express,28401,10,1.3506545513673,103.71861401513462
West Rush Hour Express,21431,11,1.34765638897246,103.71241055602675
West Rush Hour Express,22009,12,1.33932334709184,103.70545701843297
East Rush Hour Express,64009,1,1.37060695394614,103.89266808874676
East Rush Hour Express,63249,2,1.36395805601148,103.89261277802149
East Rush Hour Express,63059,3,1.36437667280221,103.88984149586426
East Rush Hour Express,64419,4,1.37339164793235,103.88521854859373
East Rush Hour Express,64119,5,1.37679164872283,103.87713655364794
East Rush Hour Express,66339,6,1.37125183222903,103.8705580506852
East Rush Hour Express,54489,7,1.375675,103.855423
East Rush Hour Express,54248,8,1.36875490594243,103.84661006967286
East Rush Hour Express,53389,9,1.35804473736933,103.8451693388076
East Rush Hour Express,52059,10,1.34309745890513,103.85622585798508
East Rush Hour Express,52361,11,1.33974408909931,103.8529812160764
East Rush Hour Express,60081,12,1.32931226062177,103.8662910461625
East Rush Hour Express,60179,13,1.32634025655419,103.86834025123764
East Rush Hour Express,80071,14,1.31380009198455,103.8765539400638
East Rush Hour Express,80089,15,1.312658,103.880111
East Rush Hour Express,80069,16,1.31214703288286,103.87715016317216
East Rush Hour Express,80009,17,1.3111642220841,103.87216341433336
