PT_CODE,TOTAL_VOLUME,Description,Latitude,Longitude,Direction
46009,1450921,Woodlands Int,1.436946,103.785936,1.0
22009,1448605,Boon Lay Int,1.33932334709184,103.70545701843297,1.0
75009,1111655,Tampines Int,1.35407552367477,103.94339098473914,1.0
84009,818157,Bedok Int,1.32453874317344,103.9290381851584,1.0
52009,797370,Toa Payoh Int,1.33202083385749,103.84692763524868,1.0
59009,792091,Yishun Int,1.4284,103.8360975,1.0
46101,619212,W'Lands Checkpt,1.44460832436456,103.76774882217022,1.0
54009,609898,Ang Mo Kio Int,1.36968769913339,103.84856716193268,1.0
44009,609312,Choa Chu Kang Int,1.38586897797184,103.74578895932125,1.0
65009,594295,Punggol Temp Int,1.40370629859822,103.90224337575332,1.0
46109,520441,W'Lands Checkpt,1.44694093553778,103.76925342517902,1.0
77009,478723,Pasir Ris Int,1.373564,103.950478,1.0
17171,458322,Clementi Stn Exit A,1.31497399268611,103.76502698264449,1.0
43009,426798,Bt Batok Int,1.34999354306126,103.75106190953444,1.0
64009,387980,Hougang Ctrl Int,1.37060695394614,103.89266808874676,1.0
17009,354505,Clementi Int,1.31491572870629,103.76412225438476,1.0
45139,349328,Kranji Stn,1.42525961270458,103.76178101875855,1.0
46211,338591,Johor Bahru Checkpt,1.46491732433248,103.76547712149444,1.0
45009,306253,BT PANJANG INT,1.37812611932206,103.763286611367,1.0
46779,303355,Admiralty Stn,1.44071357576488,103.80070754495144,1.0
46069,295964,W'Lands Train Checkpt,1.44288948418349,103.769338337993,1.0
67009,293685,Sengkang Int,1.39178060381601,103.89588499436071,1.0
28091,289836,Lakeside Stn,1.34425795644531,103.720124877254,2.0
84031,285480,Bedok Stn Exit B,1.32428292329305,103.93003627080394,2.0
59072,278495,Yishun Stn Exit E,1.429383056,103.8354931,1.0
46219,271790,Johor Bahru Checkpt,1.4654268105665,103.76826657164716,1.0
17179,267484,Clementi Stn Exit B,1.31528191560846,103.76536000516928,2.0
65191,266264,Bef Punggol Rd,1.39527356921611,103.90539999997036,2.0
46008,265542,,,,
53009,259770,Bishan Int,1.35045541249544,103.84988083722293,1.0
66009,246176,S'Goon Int,1.35046610176969,103.87168992264615,1.0
65199,241223,Aft Punggol Rd,1.39591721161169,103.90542736761212,1.0
53231,240431,BISHAN STN,1.35089997844732,103.84797987894204,1.0
66351,234149,S'goon Stn Exit E,1.35049831450162,103.87324486521683,2.0
28211,231144,Bef Jurong East Stn,1.33418677275445,103.74070680700304,1.0
14141,230206,HarbourFront Stn/Vivocity,1.26552421466644,103.82211326846236,1.0
10169,224036,Tiong Bahru Stn/Plaza,1.28599961406266,103.82748123930962,1.0
28009,217589,Jurong East Int,1.33235,103.740664,1.0
95029,212084,Changi Airport Ter 1,1.36126748727797,103.99069984684058,1.0
66359,204663,S'Goon Stn Exit C/Blk 201,1.35080698547823,103.87328604946424,1.0
59073,199582,Opp Yishun Stn,1.42868146490253,103.83546942999692,2.0
81111,190432,Paya Lebar Stn Exit B,1.31860238558389,103.89211689790608,1.0
24009,187573,Joo Koon Int,1.32697254709069,103.67839791240787,1.0
46521,187420,Marsiling Stn,1.43237833345523,103.77429333367095,2.0
47009,183153,Woodlands Temp Int,1.437553,103.786282,1.0
92049,182356,Marine Pde Stn/Parkway Pde,1.302999,103.905955,1.0
10161,180671,Opp Tiong Bahru Stn/Plaza,1.28593135445772,103.82668969231534,1.0
63039,180128,Kovan Stn Exit C,1.36026000003341,103.88538416663954,1.0
59079,179091,Yishun Stn,1.42926606883551,103.83516195358482,1.0
8057,178912,Dhoby Ghaut Stn,1.29930997279734,103.84529021429744,1.0
67409,178886,Sengkang Stn,1.3923391568303,103.89606816606354,1.0
84039,172951,Bedok Stn Exit A,1.32353645344906,103.9288630020348,1.0
60121,172336,Boon Keng Stn/Blk 102,1.32008815616383,103.86179781146464,1.0
9048,171632,Orchard Stn/Lucky Plaza,1.30386684425114,103.83413070051408,1.0
54261,171343,Aft Ang Mo Kio Stn Exit A,1.36946941916508,103.85075454495572,2.0
5013,166234,Chinatown Stn Exit C,1.28406979945936,103.84299874303984,2.0
59041,165082,Bef Khatib Stn,1.41625420109094,103.832591612732,1.0
7111,156160,Broadway Hotel,1.30879366465919,103.8531751994068,2.0
7031,155822,Tekka Ctr,1.30572083298412,103.85120583303193,2.0
1112,153766,Opp Bugis Stn Exit C,1.30009212839081,103.85520027125814,2.0
5039,153622,New Bridge Ctr,1.28293819129834,103.84254276754574,1.0
