ServiceNo,StopSequence,BusStopCode,Description,MRTBusStop,MRTLine,average_passenger_volume,Latitude,Longitude,outcome
16,1,84009,Bedok Int,1,['East-West Line'],1754592.333,1.324538743,103.9290382,keep
16,2,84139,Panasonic,0,,22068.66667,1.321745,103.92772,keep
16,3,84129,Fujitec S'pore Ltd,0,,25292.33333,1.318757905,103.9315867,keep
16,4,84151,Casafina,0,,42544,1.316569997,103.9333402,keep
16,5,93099,Siglap Sth CC,0,,21287.66667,1.313904444,103.9317114,keep
16,6,93089,Opp Goodwill Ct,0,,29059,1.312958101,103.9279061,keep
16,7,93079,Opp Springvale,0,,37919.66667,1.312505023,103.9250248,keep
16,8,93129,Bef Sekolah Indonesia,0,,7626.333333,1.311357991,103.9248123,keep
16,9,93029,Mandarin Gdns,0,,52349.66667,1.308514558,103.9247105,keep
16,10,93019,Neptune Ct,0,,45731,1.307876144,103.9211172,keep
16,11,92089,Marine Terr Stn/Katong Convent,1,['Thomson-East Coast Line'],24849,1.307191712,103.9176472,keep
16,12,92211,CHIJ Katong Convent (Sec),0,,19434.33333,1.305956389,103.9169886,keep
16,13,92221,Blk 19,0,,30896.33333,1.304964238,103.9149356,keep
16,14,92231,Blk 34,0,,41756.66667,1.304255001,103.9123224,keep
16,15,92069,Tao Nan Sch,0,,50860.33333,1.305663068,103.9110052,keep
16,16,92059,Marine Pde Stn Exit 6,1,['Thomson-East Coast Line'],64656.33333,1.304086,103.907533,keep
16,17,92181,112 Katong,0,,22664.33333,1.305289726,103.90535,remove
16,18,92171,Marshall Lane,0,,24737.33333,1.308378657,103.9030431,remove
16,19,82139,Maranatha Hall,0,,25351.66667,1.309389722,103.8993689,remove
16,20,82129,Tg Katong Sec Sch,0,,24878,1.3094346,103.8966101,remove
16,21,81199,BEF OLD AIRPORT RD,0,,11156,1.308629373,103.8906311,remove
16,22,81189,Dakota Stn Exit B/Blk 60,1,['Circle Line'],132059.3333,1.308213086,103.8885088,keep
16,23,81179,Blk 22,0,,36654,1.307260868,103.8849071,keep
16,24,80141,Opp S.A. Deaf,0,,37810.66667,1.307118355,103.8798937,keep
16,25,80219,Natl Stadium,0,,7466.666667,1.306743814,103.8752641,keep
16,26,80169,Nicoll Highway Stn,1,['Circle Line'],27688,1.300705476,103.8633601,keep
16,27,80159,Suntec City,0,,50022.33333,1.295962317,103.8579517,keep
16,28,4111,Capitol Bldg,0,,79376,1.293954442,103.851391,keep
16,29,4121,SMU,0,,81909,1.296185441,103.8495803,keep
